11996 11996
10000 10000
Cosine Distance
499 : 465.0
999 : 906.0
1499 : 1342.0
1999 : 1799.0
2499 : 2251.0
2999 : 2708.0
3499 : 3156.0
3999 : 3602.0
4499 : 4054.0
4999 : 4505.0
5499 : 4985.0
5999 : 5448.0
6499 : 5911.0
6999 : 6375.0
7499 : 6846.0
7999 : 7311.0
8499 : 7769.0
8999 : 8262.0
9499 : 8733.0
9999 : 9184.0
accuracy rate for k = 1,  0.9185
499 : 458.0
999 : 903.0
1499 : 1337.0
1999 : 1801.0
2499 : 2250.0
2999 : 2711.0
3499 : 3165.0
3999 : 3618.0
4499 : 4066.0
4999 : 4525.0
5499 : 5009.0
5999 : 5467.0
6499 : 5933.0
6999 : 6403.0
7499 : 6873.0
7999 : 7340.0
8499 : 7801.0
8999 : 8296.0
9499 : 8769.0
9999 : 9228.0
accuracy rate for k = 3,  0.9229
499 : 461.0
999 : 901.0
1499 : 1339.0
1999 : 1801.0
2499 : 2243.0
2999 : 2700.0
3499 : 3150.0
3999 : 3602.0
4499 : 4052.0
4999 : 4504.0
5499 : 4989.0
5999 : 5447.0
6499 : 5913.0
6999 : 6384.0
7499 : 6857.0
7999 : 7328.0
8499 : 7797.0
8999 : 8290.0
9499 : 8764.0
9999 : 9223.0
accuracy rate for k = 7,  0.9224
