11996 11996
10000 10000
Cosine Distance
499 : 99.0
999 : 187.0
1499 : 272.0
1999 : 364.0
2499 : 444.0
2999 : 538.0
3499 : 638.0
3999 : 730.0
4499 : 829.0
4999 : 917.0
5499 : 1023.0
5999 : 1129.0
6499 : 1221.0
6999 : 1322.0
7499 : 1406.0
7999 : 1492.0
8499 : 1579.0
8999 : 1676.0
9499 : 1779.0
9999 : 1865.0
accuracy rate for r = 0.2 ,  0.1865
499 : 389.0
999 : 764.0
1499 : 1124.0
1999 : 1498.0
2499 : 1879.0
2999 : 2252.0
3499 : 2625.0
3999 : 2989.0
4499 : 3373.0
4999 : 3760.0
5499 : 4167.0
5999 : 4525.0
6499 : 4927.0
6999 : 5321.0
7499 : 5716.0
7999 : 6113.0
8499 : 6494.0
8999 : 6950.0
9499 : 7353.0
9999 : 7733.0
accuracy rate for r = 0.5 ,  0.7734
499 : 396.0
999 : 773.0
1499 : 1128.0
1999 : 1514.0
2499 : 1888.0
2999 : 2268.0
3499 : 2652.0
3999 : 3029.0
4499 : 3399.0
4999 : 3766.0
5499 : 4194.0
5999 : 4589.0
6499 : 5021.0
6999 : 5415.0
7499 : 5828.0
7999 : 6265.0
8499 : 6693.0
8999 : 7150.0
9499 : 7579.0
9999 : 7954.0
accuracy rate for r = 1.0 ,  0.7955
