11996 11996
10000 10000
49 : 35.0
99 : 67.0
149 : 95.0
199 : 125.0
249 : 154.0
299 : 182.0
349 : 210.0
399 : 246.0
449 : 276.0
499 : 307.0
549 : 333.0
599 : 358.0
649 : 386.0
699 : 414.0
749 : 442.0
799 : 470.0
849 : 506.0
899 : 536.0
949 : 568.0
999 : 599.0
1049 : 631.0
1099 : 656.0
1149 : 685.0
1199 : 714.0
1249 : 736.0
1299 : 764.0
1349 : 796.0
1399 : 833.0
1449 : 858.0
1499 : 884.0
1549 : 912.0
1599 : 934.0
1649 : 963.0
1699 : 988.0
1749 : 1019.0
1799 : 1045.0
1849 : 1080.0
1899 : 1107.0
1949 : 1132.0
1999 : 1160.0
2049 : 1186.0
2099 : 1213.0
2149 : 1237.0
2199 : 1269.0
2249 : 1298.0
2299 : 1327.0
2349 : 1360.0
2399 : 1393.0
2449 : 1420.0
2499 : 1448.0
2549 : 1475.0
2599 : 1504.0
2649 : 1532.0
2699 : 1554.0
2749 : 1586.0
2799 : 1615.0
2849 : 1646.0
2899 : 1671.0
2949 : 1690.0
2999 : 1717.0
3049 : 1753.0
3099 : 1787.0
3149 : 1819.0
3199 : 1848.0
3249 : 1881.0
3299 : 1915.0
3349 : 1939.0
3399 : 1973.0
3449 : 2001.0
3499 : 2027.0
3549 : 2055.0
3599 : 2074.0
3649 : 2109.0
3699 : 2145.0
3749 : 2172.0
3799 : 2195.0
3849 : 2219.0
3899 : 2241.0
3949 : 2273.0
3999 : 2298.0
4049 : 2330.0
4099 : 2358.0
4149 : 2384.0
4199 : 2415.0
4249 : 2440.0
4299 : 2463.0
4349 : 2495.0
4399 : 2521.0
4449 : 2545.0
4499 : 2572.0
4549 : 2600.0
4599 : 2627.0
4649 : 2656.0
4699 : 2690.0
4749 : 2717.0
4799 : 2743.0
4849 : 2764.0
4899 : 2791.0
4949 : 2822.0
4999 : 2851.0
5049 : 2885.0
5099 : 2913.0
5149 : 2947.0
5199 : 2981.0
5249 : 3007.0
5299 : 3049.0
5349 : 3088.0
5399 : 3124.0
5449 : 3151.0
5499 : 3191.0
5549 : 3227.0
5599 : 3261.0
5649 : 3286.0
5699 : 3319.0
5749 : 3353.0
5799 : 3392.0
5849 : 3430.0
5899 : 3457.0
5949 : 3488.0
5999 : 3520.0
6049 : 3552.0
6099 : 3587.0
6149 : 3629.0
6199 : 3657.0
6249 : 3692.0
6299 : 3734.0
6349 : 3772.0
6399 : 3806.0
6449 : 3835.0
6499 : 3869.0
6549 : 3905.0
6599 : 3934.0
6649 : 3963.0
6699 : 3987.0
6749 : 4018.0
6799 : 4046.0
6849 : 4082.0
6899 : 4110.0
6949 : 4140.0
6999 : 4170.0
7049 : 4200.0
7099 : 4233.0
7149 : 4260.0
7199 : 4295.0
7249 : 4325.0
7299 : 4354.0
7349 : 4388.0
7399 : 4413.0
7449 : 4447.0
7499 : 4471.0
7549 : 4501.0
7599 : 4524.0
7649 : 4562.0
7699 : 4598.0
7749 : 4639.0
7799 : 4675.0
7849 : 4709.0
7899 : 4742.0
7949 : 4775.0
7999 : 4815.0
8049 : 4850.0
8099 : 4875.0
8149 : 4906.0
8199 : 4942.0
8249 : 4979.0
8299 : 5008.0
8349 : 5044.0
8399 : 5081.0
8449 : 5120.0
8499 : 5152.0
8549 : 5184.0
8599 : 5220.0
8649 : 5258.0
8699 : 5295.0
8749 : 5335.0
8799 : 5375.0
8849 : 5418.0
8899 : 5462.0
8949 : 5502.0
8999 : 5541.0
9049 : 5561.0
9099 : 5599.0
9149 : 5635.0
9199 : 5667.0
9249 : 5698.0
9299 : 5728.0
9349 : 5763.0
9399 : 5800.0
9449 : 5833.0
9499 : 5869.0
9549 : 5907.0
9599 : 5943.0
9649 : 5981.0
9699 : 6008.0
9749 : 6029.0
9799 : 6055.0
9849 : 6083.0
9899 : 6106.0
9949 : 6134.0
9999 : 6167.0
accuracy rate for polynomial w degree 2 kernel 0.6167
49 : 50.0
99 : 98.0
149 : 146.0
199 : 194.0
249 : 239.0
299 : 286.0
349 : 332.0
399 : 380.0
449 : 427.0
499 : 470.0
549 : 514.0
599 : 558.0
649 : 601.0
699 : 646.0
749 : 691.0
799 : 737.0
849 : 782.0
899 : 829.0
949 : 872.0
999 : 916.0
1049 : 961.0
1099 : 1008.0
1149 : 1049.0
1199 : 1091.0
1249 : 1133.0
1299 : 1179.0
1349 : 1225.0
1399 : 1270.0
1449 : 1315.0
1499 : 1359.0
1549 : 1403.0
1599 : 1449.0
1649 : 1495.0
1699 : 1543.0
1749 : 1587.0
1799 : 1633.0
1849 : 1682.0
1899 : 1727.0
1949 : 1772.0
1999 : 1818.0
2049 : 1864.0
2099 : 1906.0
2149 : 1951.0
2199 : 1999.0
2249 : 2047.0
2299 : 2090.0
2349 : 2137.0
2399 : 2183.0
2449 : 2229.0
2499 : 2277.0
2549 : 2324.0
2599 : 2372.0
2649 : 2418.0
2699 : 2465.0
2749 : 2512.0
2799 : 2559.0
2849 : 2605.0
2899 : 2650.0
2949 : 2691.0
2999 : 2736.0
3049 : 2781.0
3099 : 2826.0
3149 : 2872.0
3199 : 2919.0
3249 : 2963.0
3299 : 3006.0
3349 : 3052.0
3399 : 3095.0
3449 : 3141.0
3499 : 3188.0
3549 : 3232.0
3599 : 3276.0
3649 : 3323.0
3699 : 3370.0
3749 : 3415.0
3799 : 3457.0
3849 : 3502.0
3899 : 3549.0
3949 : 3593.0
3999 : 3639.0
4049 : 3683.0
4099 : 3726.0
4149 : 3773.0
4199 : 3819.0
4249 : 3862.0
4299 : 3909.0
4349 : 3955.0
4399 : 3999.0
4449 : 4047.0
4499 : 4092.0
4549 : 4140.0
4599 : 4184.0
4649 : 4230.0
4699 : 4278.0
4749 : 4325.0
4799 : 4371.0
4849 : 4414.0
4899 : 4459.0
4949 : 4505.0
4999 : 4549.0
5049 : 4599.0
5099 : 4644.0
5149 : 4691.0
5199 : 4738.0
5249 : 4787.0
5299 : 4834.0
5349 : 4882.0
5399 : 4932.0
5449 : 4982.0
5499 : 5031.0
5549 : 5078.0
5599 : 5128.0
5649 : 5171.0
5699 : 5219.0
5749 : 5266.0
5799 : 5315.0
5849 : 5362.0
5899 : 5407.0
5949 : 5454.0
5999 : 5495.0
6049 : 5536.0
6099 : 5579.0
6149 : 5628.0
6199 : 5670.0
6249 : 5719.0
6299 : 5769.0
6349 : 5818.0
6399 : 5865.0
6449 : 5912.0
