size of file is 1000 * 3
Iteration #1, total mistakes 5, accuracy: 0.56
Iteration #2, total mistakes 18, accuracy: 0.844
Iteration #3, total mistakes 12, accuracy: 1.0
Iteration #4, total mistakes 0, accuracy: 1.0
gaussian result:
0:  -1.0 -1.0 -1.1078243288980514
1:  -1.0 -1.0 -0.9814481033054641
2:  -1.0 -1.0 -1.0788347523138528
3:  -1.0 -1.0 -0.5615465780689277
4:  -1.0 -1.0 -0.9906959265715348
5:  -1.0 -1.0 -0.8410197080300339
6:  -1.0 -1.0 -0.4655264297907179
7:  -1.0 -1.0 -0.052338747579584684
8:  -1.0 -1.0 -1.0164499844766999
9:  -1.0 -1.0 -1.1320621187035949
10:  -1.0 -1.0 -0.9974739265637859
11:  -1.0 -1.0 -0.9921890690178946
12:  -1.0 -1.0 -0.37190620229244536
13:  -1.0 -1.0 -1.0688031354138405
14:  -1.0 -1.0 -0.9906249311881499
15:  -1.0 -1.0 -0.3270417790147417
16:  -1.0 -1.0 -0.8995178300672058
17:  -1.0 -1.0 -0.13213500213825494
18:  -1.0 -1.0 -0.04060117783517833
19:  -1.0 -1.0 -0.181245930582282
20:  -1.0 -1.0 -1.0285605068590036
21:  -1.0 -1.0 -1.05708327164604
22:  -1.0 -1.0 -0.992622398531166
23:  -1.0 -1.0 -0.31446536653861445
24:  -1.0 -1.0 -0.5287516573590466
25:  -1.0 -1.0 -1.1279459287021512
26:  -1.0 -1.0 -0.3774702109958587
27:  -1.0 -1.0 -0.772775720051897
28:  -1.0 -1.0 -0.31362760144919893
29:  -1.0 -1.0 -0.12995849667645698
30:  -1.0 -1.0 -0.22792238831261596
31:  -1.0 -1.0 -0.841090342657984
32:  -1.0 -1.0 -0.9697099368604581
33:  -1.0 -1.0 -0.24017102186510023
34:  -1.0 -1.0 -0.3751236644399343
35:  -1.0 -1.0 -1.036958323713766
36:  -1.0 -1.0 -0.3181751275639148
37:  -1.0 -1.0 -0.7082769032964672
38:  -1.0 -1.0 -0.0646609599959266
39:  -1.0 -1.0 -0.3133255370872012
40:  -1.0 -1.0 -0.9807169043703321
41:  -1.0 -1.0 -0.9953792575428335
42:  -1.0 -1.0 -0.07304823172281195
43:  -1.0 -1.0 -0.9678416113552
44:  -1.0 -1.0 -0.8983820590495962
45:  -1.0 -1.0 -0.9129697172909057
46:  -1.0 -1.0 -0.6274968983911101
47:  -1.0 -1.0 -0.2612003727914515
48:  -1.0 -1.0 -0.9004657932052805
49:  -1.0 -1.0 -0.4790924333006097
50:  -1.0 -1.0 -0.1869552799574025
51:  -1.0 -1.0 -0.4148048565828972
52:  -1.0 -1.0 -1.1276048344278098
53:  -1.0 -1.0 -0.8719652821465382
54:  -1.0 -1.0 -0.10882786658308558
55:  -1.0 -1.0 -0.20488781054602925
56:  -1.0 -1.0 -0.8047556568758671
57:  -1.0 -1.0 -0.9690284115912128
58:  -1.0 -1.0 -0.15439608615920872
59:  -1.0 -1.0 -0.17799954871649168
60:  -1.0 -1.0 -0.08995124568213302
61:  -1.0 -1.0 -0.641784794581516
62:  -1.0 -1.0 -0.7662730345006837
63:  -1.0 -1.0 -0.15757673897427024
64:  -1.0 -1.0 -1.0042925646934362
65:  -1.0 -1.0 -0.33906773787366595
66:  -1.0 -1.0 -0.7298022498252935
67:  -1.0 -1.0 -0.6242239100880682
68:  -1.0 -1.0 -0.2433561268671471
69:  -1.0 -1.0 -0.3840747451504908
70:  -1.0 -1.0 -0.7865480353827626
71:  -1.0 -1.0 -0.8622781485493825
72:  -1.0 -1.0 -0.5729401418922944
73:  -1.0 -1.0 -0.3257213189044483
74:  -1.0 -1.0 -0.45412754094788593
75:  -1.0 -1.0 -0.9793137356855339
76:  -1.0 -1.0 -0.8588229493627723
77:  -1.0 -1.0 -0.19733855602458647
78:  -1.0 -1.0 -0.9418171572018813
79:  -1.0 -1.0 -0.746747676437975
80:  -1.0 -1.0 -1.0903590624625275
81:  -1.0 -1.0 -0.6961380303697258
82:  -1.0 -1.0 -1.0096943496052773
83:  -1.0 -1.0 -0.2802863871348775
84:  -1.0 -1.0 -0.4935834889179497
85:  -1.0 -1.0 -0.6997052943033418
86:  -1.0 -1.0 -0.13621564077697823
87:  -1.0 -1.0 -0.8976909064755343
88:  -1.0 -1.0 -0.06259311701781571
89:  -1.0 -1.0 -0.8462550984321082
90:  -1.0 -1.0 -0.18158365509123373
91:  -1.0 -1.0 -0.47259826274191585
92:  -1.0 -1.0 -0.4539077380506267
93:  -1.0 -1.0 -0.25146233482532193
94:  -1.0 -1.0 -0.5053890068331642
95:  -1.0 -1.0 -0.5089727055520732
96:  -1.0 -1.0 -0.5368344743061974
97:  -1.0 -1.0 -0.7164718100608565
98:  -1.0 -1.0 -0.5585392469764506
